Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,source_file,Unnamed: 0,press_alt,ias,hdg,gps_gs,gps_trk,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,efficiency
5.06,1.0,5.0,2025-11-22 21:05:14,37.08154,-121.59951,342.0,0.0,136.4,-12.6,,,,,0.0,10.8,-0.7,49.7,0.0,198.0,0.0,-0.01,1.0,,-66.0,19.0,0.0,30.07,747.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
5.31,1.0,10.0,2025-11-22 21:05:14,37.08157,-121.59958,347.0,0.0,136.4,-12.6,,,,,0.0,10.8,-0.7,49.7,0.0,198.0,0.0,-0.01,1.0,,-85.0,19.0,0.0,30.07,747.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
5.56,1.0,10.0,2025-11-22 21:05:14,37.08154,-121.5996,358.0,0.0,136.4,-12.6,,,,,0.0,10.8,-0.7,49.7,0.0,198.0,0.0,-0.01,1.0,,-74.0,19.0,0.0,30.07,747.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-29.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
5.81,1.0,10.0,2025-11-22 21:05:15,37.08154,-121.5996,358.0,0.0,136.4,-12.6,,,,,0.0,10.8,-0.7,49.7,0.0,198.0,0.0,-0.01,1.0,,-54.0,19.0,0.0,30.07,747.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,16.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,60.8,69.8,,,58.64,0.0,60.8,0.9184290030211479,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
6.06,1.0,10.0,2025-11-22 21:05:15,37.08154,-121.5996,358.0,0.0,136.4,-12.6,,,,,0.0,10.8,-0.7,49.7,0.0,198.0,0.0,-0.01,1.0,,-62.0,19.0,0.0,30.07,747.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
6.31,1.0,10.0,2025-11-22 21:05:15,37.08155,-121.5996,328.0,0.0,136.4,-12.6,,,,,0.0,10.9,-0.8,49.7,0.0,198.0,0.0,-0.01,1.0,,-62.0,19.0,0.0,30.07,747.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,16.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,60.8,69.8,,,58.64,0.0,60.8,0.9184290030211479,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
6.56,1.0,10.0,2025-11-22 21:05:15,37.08155,-121.5996,328.0,0.0,136.4,-12.6,,,,,0.0,10.9,-0.8,49.7,0.0,197.0,0.1,-0.01,1.0,,-60.0,19.0,0.0,30.07,745.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-29.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
6.81,1.0,10.0,2025-11-22 21:05:16,37.08155,-121.5996,328.0,0.0,136.4,-12.6,,,,,0.0,10.9,-0.8,49.7,0.0,197.0,0.1,-0.01,1.0,,-77.0,19.0,0.0,30.07,745.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
7.06,1.0,10.0,2025-11-22 21:05:16,37.08155,-121.5996,327.0,0.0,136.4,-12.6,,,,,0.0,10.9,-0.8,49.7,0.0,196.0,0.1,-0.01,1.0,,-82.0,19.0,0.0,30.07,745.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
7.31,1.0,10.0,2025-11-22 21:05:16,37.08155,-121.5996,327.0,0.0,136.4,-12.6,,,,,0.0,10.9,-0.8,49.6,0.0,194.0,0.0,-0.01,1.0,,-113.0,19.0,0.0,30.07,745.0,,,323.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,30.1,0.0,,0.0,0.7,,,40.0,0.0,0.0,-0.6,0.1,0.0,,,,,16.0,18.0,16.0,22.0,16.0,18.0,17.0,21.0,,,-28.0,254.4,,0.7,1.0,4.998,,,0.653,0.817,0.0,14.8,,,,,,2025-11-22-N890GF-SN35347-17.3.0.19825-USER_LOG_DATA.csv,,,,,,,66.2,59.0,,,,,60.8,64.4,60.8,71.6,60.8,64.4,62.6,69.8,,,58.64,0.0,61.25,0.925226586102719,0.891238670694864,0.0,0.0,350.6,True,2025-11-22 21:05:14 - Flight 8,
