Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,Fuel Flow Integral,Max CHT,Engine Run,Flight ID
6.06,1,9,2026-01-03 22:45:42,37.08166,-121.59954,316.0,0.1,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.5,0.0,328.0,-0.0,0.01,1.0,0.0,-43.0,17.0,0.0,29.88,651.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.5,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.907,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
7.06,1,9,2026-01-03 22:45:43,37.08165,-121.59956,309.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.5,0.0,326.0,-0.0,0.01,1.0,0.0,-55.0,17.0,0.0,29.88,651.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.5,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.907,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
8.06,1,9,2026-01-03 22:45:44,37.08165,-121.59956,312.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.5,0.0,326.0,-0.0,0.01,1.0,0.0,-27.0,17.0,0.0,29.88,651.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.5,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.906,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
9.06,1,9,2026-01-03 22:45:45,37.08165,-121.59957,314.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.6,0.0,326.0,-0.0,0.01,1.0,0.0,-33.0,17.0,0.0,29.88,651.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.5,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.907,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
10.06,1,9,2026-01-03 22:45:46,37.08165,-121.59957,316.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.6,0.0,326.0,-0.0,0.01,1.0,0.0,-10.0,17.0,0.0,29.88,648.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.5,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.907,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
11.06,1,9,2026-01-03 22:45:47,37.08165,-121.59957,319.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.6,0.0,324.0,-0.0,0.01,1.0,0.0,-64.0,17.0,0.0,29.88,648.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.6,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.906,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
12.06,1,9,2026-01-03 22:45:48,37.08165,-121.59957,321.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.6,0.0,322.0,0.0,0.01,1.0,0.0,-87.0,17.0,0.0,29.88,648.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.6,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.907,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
13.06,1,9,2026-01-03 22:45:49,37.08165,-121.59957,323.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.6,0.0,322.0,0.0,0.01,1.0,0.0,-64.0,17.0,0.0,29.88,651.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.6,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.907,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
14.06,1,9,2026-01-03 22:45:50,37.08165,-121.59957,324.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.6,0.0,322.0,-0.0,0.01,1.0,0.0,-55.0,17.0,0.0,29.88,651.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.6,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.906,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
15.06,1,9,2026-01-03 22:45:51,37.08165,-121.59958,325.0,0.0,171.1,-12.6,0.0,0,0.0,0.0,0.0,11.4,0.6,229.7,0.0,321.0,0.0,0.01,1.0,0.0,-45.0,17.0,0.0,29.88,650.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,-0.6,0.3,0.1,0.0,0.0,0.0,0.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,0.0,0.0,-2.0,254.4,0.0,0.0,2.0,4.998,0.0,0.0,0.659,0.905,0.0,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0,285.8,True,2026-01-03 22:45:42 - Flight 1
