Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,Fuel Flow,MPG
7.06,1,8,2026-04-03 20:17:48,37.08162,-121.59956,400.0,0.0,137.1,-12.6,,,,,0.0,10.7,-1.0,10.8,0.0,134.0,0.0,-0.01,1.0,99.0,-125.0,24,0.0,29.96,1183.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,19.0,18.0,19.0,,,4.0,254.5,,0.0,2.0,0.001,,,0.653,0.844,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,66.2,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.0,395.6,True,2026-04-03 20:17:48,0.0,0.0
8.06,1,8,2026-04-03 20:17:49,37.0816,-121.59958,330.0,0.0,137.1,-12.6,,,,,0.0,10.7,-1.0,10.8,0.0,134.0,0.1,-0.01,1.0,99.0,-97.0,24,0.0,29.96,1183.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,19.0,18.0,19.0,,,4.0,254.5,,0.0,2.0,0.001,,,0.653,0.844,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,66.2,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.0,395.6,True,2026-04-03 20:17:48,0.0,0.0
9.06,1,8,2026-04-03 20:17:50,37.0816,-121.59958,330.0,0.0,137.1,-12.6,,,,,0.0,10.7,-1.0,10.8,0.0,133.0,0.0,-0.02,1.0,99.0,-68.0,24,0.0,29.96,1183.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,18.0,18.0,19.0,,,4.0,254.5,,0.0,2.0,0.001,,,0.653,0.845,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,64.4,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.0,395.6,True,2026-04-03 20:17:48,0.0,0.0
10.06,1,8,2026-04-03 20:17:51,37.08159,-121.59958,331.0,0.0,137.1,-12.6,,,,,0.0,10.7,-1.0,10.8,0.0,130.0,0.1,-0.01,1.0,99.0,-122.0,24,0.0,29.96,1189.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,19.0,18.0,19.0,,,4.0,254.5,,0.0,2.0,0.001,,,0.653,0.845,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,66.2,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.0,395.6,True,2026-04-03 20:17:48,0.0,0.0
11.06,1,8,2026-04-03 20:17:52,37.08159,-121.59958,332.0,0.0,137.1,-12.6,,,,,0.0,10.6,-1.0,10.8,0.0,126.0,0.1,-0.02,1.0,99.0,-159.0,24,0.0,29.96,1187.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,18.0,18.0,19.0,,,4.0,254.4,,0.0,2.0,0.001,,,0.653,0.845,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,64.4,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.0,395.6,True,2026-04-03 20:17:48,0.0,0.0
12.06,1,8,2026-04-03 20:17:53,37.08159,-121.59958,332.0,0.0,137.1,-12.6,,,,,0.0,10.6,-1.0,10.8,0.0,125.0,0.1,-0.02,1.0,99.0,-124.0,24,0.0,29.96,1187.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,18.0,18.0,19.0,,,4.0,254.4,,0.0,2.0,0.001,,,0.654,0.845,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,64.4,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.0,395.6,True,2026-04-03 20:17:48,0.0,0.0
13.06,1,8,2026-04-03 20:17:54,37.08159,-121.59958,332.0,0.0,137.1,-12.6,,,,,0.0,10.7,-1.0,10.8,0.0,124.0,0.1,-0.02,1.0,99.0,-111.0,24,0.0,29.96,1187.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,18.0,18.0,19.0,,,4.0,254.4,,0.0,2.0,0.001,,,0.654,0.845,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,64.4,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.0,395.6,True,2026-04-03 20:17:48,0.0,0.0
14.06,1,8,2026-04-03 20:17:55,37.08158,-121.59958,332.0,0.1,137.1,-12.6,,,,,0.0,10.7,-1.0,10.8,0.0,123.0,0.1,-0.01,1.0,99.0,-95.0,24,0.0,29.96,1180.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,18.0,18.0,19.0,,,4.0,254.4,,0.0,2.0,0.001,,,0.654,0.846,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,64.4,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.08433333333333333,395.6,True,2026-04-03 20:17:48,0.0,0.0
15.06,1,8,2026-04-03 20:17:56,37.08158,-121.59958,332.0,0.0,137.1,-12.6,,,,,0.0,10.7,-1.0,10.7,0.0,122.0,0.1,-0.02,1.0,99.0,-80.0,24,0.0,29.96,1180.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,18.0,17.0,19.0,17.0,18.0,18.0,19.0,,,4.0,254.4,,0.0,2.0,0.001,,,0.654,0.848,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,64.4,62.6,66.2,62.6,64.4,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.16866666666666666,395.6,True,2026-04-03 20:17:48,0.0,0.0
16.06,1,8,2026-04-03 20:17:57,37.08158,-121.59958,332.0,0.0,137.1,-12.6,,,,,0.0,10.7,-1.0,10.7,0.0,121.0,0.1,-0.01,1.0,99.0,-66.0,24,0.0,29.96,1180.0,,,79,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,0.0,30.2,0.0,,0.0,0.0,,,33.1,0.0,0.0,-0.6,8.3,6.5,,,,,17.0,19.0,17.0,19.0,17.0,19.0,18.0,19.0,,,4.0,254.4,,0.0,2.0,0.001,,,0.654,0.848,0.0,15.6,,,,,,75.2,60.8,,,,,62.6,66.2,62.6,66.2,62.6,66.2,64.4,66.2,,,60.08,0.0,63.05,0.8384308510638298,0.8085106382978723,0.0,0.16866666666666666,395.6,True,2026-04-03 20:17:48,0.0,0.0
