Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,Fuel Flow,MPG
4.06,1,9,2026-04-09 22:15:49,37.08161,-121.59965,285.0,0.0,239.3,-12.6,,,,,0.0,10.7,-0.8,8.2,0.0,301.0,0.1,-0.01,1.0,,-108.0,28.0,0.0,30.09,1930.0,,,317.0,,125.0,-700.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,24.0,25.0,,,9.0,254.3,,0.0,11.0,0.001,,,0.653,1.412,0.0,23.2,,,,,,82.4,,,,,,75.2,77.0,75.2,77.0,75.2,77.0,75.2,77.0,,,73.75999999999999,0.0,75.2,-7.200000000000003,,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
5.06,1,9,2026-04-09 22:15:50,37.08161,-121.59965,260.0,0.0,239.3,-12.6,,,,,0.0,10.7,-0.8,8.3,0.0,298.0,0.1,-0.01,1.0,99.0,-151.0,28.0,0.0,30.09,1930.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,24.0,25.0,,,9.0,254.3,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.2,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,75.2,77.0,,,73.75999999999999,0.0,75.2,-7.200000000000003,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
6.06,1,9,2026-04-09 22:15:51,37.08161,-121.59965,261.0,0.0,239.3,-12.6,,,,,0.0,10.8,-0.8,8.3,0.0,296.0,0.1,-0.01,1.0,99.0,-114.0,28.0,0.0,30.09,1930.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,25.0,25.0,,,9.0,254.3,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.1,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,77.0,77.0,,,73.58,0.0,75.64999999999999,-6.750000000000014,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
7.06,1,9,2026-04-09 22:15:52,37.08161,-121.59965,262.0,0.0,239.3,-12.6,,,,,0.0,10.8,-0.8,8.2,0.0,294.0,0.1,-0.01,1.0,99.0,-137.0,28.0,0.0,30.09,1931.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,24.0,25.0,,,9.0,254.3,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.1,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,75.2,77.0,,,73.58,0.0,75.2,-7.200000000000003,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
8.06,1,9,2026-04-09 22:15:53,37.08161,-121.59965,262.0,0.0,239.3,-12.6,,,,,0.0,10.8,-0.8,8.2,0.0,293.0,0.1,-0.01,1.0,99.0,-117.0,28.0,0.0,30.09,1931.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,25.0,25.0,,,9.0,254.3,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.1,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,77.0,77.0,,,73.58,0.0,75.64999999999999,-6.750000000000014,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
9.06,1,9,2026-04-09 22:15:54,37.08161,-121.59965,261.0,0.0,239.3,-12.6,,,,,0.0,10.7,-0.9,8.1,0.0,291.0,0.0,-0.01,1.0,99.0,-101.0,28.0,0.0,30.09,1931.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,24.0,25.0,,,9.0,254.3,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.1,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,75.2,77.0,,,73.58,0.0,75.2,-7.200000000000003,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
10.06,1,9,2026-04-09 22:15:55,37.08161,-121.59966,260.0,0.0,239.3,-12.6,,,,,0.0,10.8,-0.8,8.1,0.0,290.0,0.1,-0.01,1.0,99.0,-82.0,28.0,0.0,30.09,1934.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,25.0,25.0,,,9.0,254.3,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.1,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,77.0,77.0,,,73.58,0.0,75.64999999999999,-6.750000000000014,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
11.06,1,9,2026-04-09 22:15:56,37.08161,-121.59966,258.0,0.0,239.3,-12.6,,,,,0.0,10.8,-0.8,8.1,0.0,290.0,0.1,-0.01,1.0,99.0,-62.0,28.0,0.0,30.09,1934.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,25.0,25.0,,,9.0,254.2,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.0,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,77.0,77.0,,,73.4,0.0,75.64999999999999,-6.750000000000014,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
12.06,1,9,2026-04-09 22:15:57,37.08161,-121.59966,258.0,0.0,239.3,-12.6,,,,,0.0,10.7,-0.8,8.1,0.0,290.0,0.1,-0.01,1.0,99.0,-35.0,28.0,0.0,30.09,1934.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,26.0,24.0,25.0,25.0,26.0,,,9.0,254.2,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.0,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,78.8,75.2,77.0,77.0,78.8,,,73.4,0.0,75.64999999999999,-6.750000000000014,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
13.06,1,9,2026-04-09 22:15:58,37.08161,-121.59966,257.0,0.0,239.3,-12.6,,,,,0.0,10.8,-0.9,8.0,0.0,290.0,0.0,-0.01,1.0,99.0,-23.0,28.0,0.0,30.09,1934.0,,,317.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,0.0,30.0,0.0,,0.0,0.0,,,23.4,0.0,0.0,-0.2,9.2,7.4,,,,,24.0,25.0,24.0,25.0,24.0,25.0,25.0,25.0,,,9.0,254.2,,0.0,11.0,0.001,,,0.653,1.411,0.0,23.0,,,,,,82.4,73.4,,,,,75.2,77.0,75.2,77.0,75.2,77.0,77.0,77.0,,,73.4,0.0,75.64999999999999,-6.750000000000014,-9.0,0.0,0.0,397.4,True,2026-04-09 22:15:49,0.0,0.0
