,press_alt,ias,hdg,gps_gs,gps_trk
1971,4361.0,137.8,237.0,170.4,249.7
1972,4363.0,137.6,237.4,170.6,250.2
1973,4364.0,137.3,238.4,170.8,250.6
1974,4364.0,137.3,238.9,171.1,250.9
1975,4364.0,137.2,239.3,171.5,251.0
1976,4363.0,137.5,239.7,172.0,251.1
1977,4359.0,138.3,240.0,172.4,251.1
1978,4350.0,139.1,239.7,172.8,251.1
1979,4344.0,139.5,239.6,173.2,251.1
1980,4338.0,139.7,239.3,173.5,251.0
1981,4335.0,139.6,239.1,173.6,250.9
1982,4332.0,139.9,238.6,173.6,250.8
1983,4332.0,139.8,239.0,173.5,250.8
1984,4332.0,139.7,239.1,173.5,250.9
1985,4332.0,139.4,239.3,173.4,250.9
1986,4332.0,138.9,239.1,173.2,251.0
1987,4332.0,138.6,239.3,173.2,251.0
1988,4332.0,138.8,239.4,173.3,251.0
1989,4333.0,139.2,239.8,173.3,251.0
1990,4334.0,139.1,239.9,173.3,251.0
1991,4336.0,139.4,239.9,173.4,251.1
1992,4336.0,138.7,239.6,173.4,251.2
1993,4339.0,139.1,240.2,173.5,251.2
1994,4343.0,139.1,240.3,173.5,251.4
1995,4344.0,139.0,240.6,173.7,251.5
1996,4345.0,139.2,240.8,173.8,251.6
1997,4346.0,140.0,240.7,173.9,251.6
1998,4347.0,140.3,240.5,174.0,251.5
1999,4350.0,140.5,240.4,174.1,251.5
2000,4351.0,140.7,240.1,174.1,251.4
2001,4354.0,141.8,239.8,174.1,251.3
2002,4357.0,142.0,239.3,174.1,251.2
2003,4359.0,141.9,238.8,174.1,251.5
2004,4363.0,142.4,239.5,174.0,251.5
2005,4364.0,142.4,239.6,174.0,251.8
2006,4365.0,142.3,239.8,174.0,252.1
2007,4365.0,142.4,240.0,174.1,252.2
2008,4365.0,142.2,240.2,174.1,252.4
2009,4365.0,142.3,240.6,174.3,252.6
2010,4365.0,142.5,241.3,174.4,253.0
2011,4359.0,142.7,242.5,174.7,254.0
2012,4352.0,143.1,244.2,174.8,255.5
2013,4343.0,143.0,246.3,175.1,257.5
2014,4336.0,143.0,248.9,175.3,259.8
2015,4327.0,142.9,251.9,175.5,262.5
2016,4321.0,143.0,255.2,175.6,265.3
2017,4313.0,143.6,258.1,175.6,268.2
2018,4309.0,143.6,261.2,175.4,271.2
2019,4306.0,143.8,264.2,175.1,274.2
2020,4304.0,143.4,267.2,174.6,277.4
2021,4304.0,142.7,270.4,173.9,280.5
2022,4304.0,141.8,273.6,173.1,283.6
2023,4305.0,141.8,276.4,172.2,286.5
2024,4313.0,141.5,279.8,171.4,289.3
2025,4315.0,140.5,282.4,170.7,292.3
2026,4320.0,140.5,285.5,170.0,295.2
2027,4323.0,140.4,289.1,169.5,298.0
2028,4323.0,140.7,292.0,169.0,301.1
2029,4323.0,140.3,295.1,168.4,304.1
2030,4323.0,140.7,297.9,167.8,307.3
2031,4323.0,140.9,301.3,167.1,310.3
2032,4323.0,141.0,304.2,166.3,313.5
2033,4323.0,141.1,306.6,165.4,316.8
2034,4323.0,141.3,309.9,164.5,320.0
2035,4323.0,141.4,312.6,163.4,323.2
2036,4323.0,141.6,315.2,162.2,326.6
2037,4323.0,141.3,317.9,161.1,329.9
2038,4323.0,141.2,321.3,160.1,333.2
2039,4326.0,141.2,324.4,159.2,336.5
2040,4327.0,141.0,328.2,158.4,339.7
2041,4327.0,140.5,331.2,157.6,342.9
2042,4327.0,139.7,334.5,156.9,346.1
2043,4327.0,140.0,337.8,156.3,349.1
2044,4327.0,140.0,340.9,155.8,352.1
2045,4327.0,139.9,343.5,155.3,355.1
2046,4325.0,140.3,346.0,154.9,357.7
2047,4321.0,141.0,348.3,154.4,0.2
2048,4319.0,141.1,349.6,154.0,2.3
2049,4318.0,140.4,351.3,153.5,4.2
2050,4318.0,140.0,352.8,153.1,5.9
2051,4318.0,140.0,354.8,152.8,7.2
2052,4318.0,140.0,356.2,152.4,8.3
2053,4320.0,139.3,358.1,152.1,9.1
2054,4321.0,139.1,359.1,151.9,9.7
2055,4323.0,139.0,360.0,151.7,10.2
2056,4326.0,138.8,0.7,151.7,10.6
2057,4326.0,138.6,0.9,151.7,10.8
